"tarifit","nl","en","cefr_oud","woordsoort","cefr_nieuw","thema","zekerheid","tags_nieuw"
"acrag","looien","tanning","B2","ww","B2","werk & beroep & ambacht","auto","tarifit::cefr::B2 tarifit::woordsoort::ww tarifit::thema::werk"
"acuﬀuṛ","Chauffeur","Driver","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"ad","zullen","shall, will","B1","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"adjey","diep","deep","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"adu","onder","under","B1","znw_m_ev","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"af","vinden","to find","C1","ww","A1","handelingen","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::doen"
"afaattu","de vlinder","the butterfly","B2","znw_m_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"afarran","bakker, oven","baker, oven","B2","znw_m_ev","A1","werk & beroep & ambacht","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"afriw","vleugel","wing","B2","znw_m_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"afunas","stier","bull","B2","znw_m_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"afusi","rechts","right","B2","znw_m_ev","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"afḏis","de hamer","the hammer","B2","znw_m_ev","A2","gereedschap & materiaal","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::ger"
"afṛaḏ","Afval","Waste","B2","znw_m_ev","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"agemmiz","wang","cheek","B2","znw_m_ev","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"agezzaa","slager","butcher","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"agi","weigeren","to refuse","B1","ww","A2","taal & school & communicatie","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::taal"
"ahimuř","de menigte","the crowd","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"ajaaṭiř","de mat","the mat","B2","znw_m_ev","B1","huis & huishouden","check","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"ajdiḏ","vogel","bird","B2","znw_m_ev","A1","dieren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"ajemmad-in","Overkant","Other side","C1","znw_m_ev","B1","plaats & richting & geografie","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"ajenna","de lucht","sky, air","B2","znw_m_ev","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"ajjaj","Onweer","Storm","B2","znw_m_ev","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"ajjař","de weduwnaar","the widower","B2","znw_m_ev","B1","familie & mensen","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"ajjaṛ","Buurman","Neighbour","B2","znw_m_ev","A1","samenleving & volken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"ajris","het ijs","the ice","B2","znw_m_ev","A2","natuur & weer","check","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"ajɛuḏ","het veulen","the foal","B2","znw_m_ev","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"ajɣuř","de schelp","the shell","B2","znw_m_ev","A2","natuur & weer","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"akebbuḏ / palto","Jas","Jacket","B2","znw_m_ev","A1","kleding & sieraad","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::kled"
"akeccuḏ","stok","stick","B1","znw_m_ev","A2","gereedschap & materiaal","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::ger"
"akennas","staart","tail","B2","znw_m_ev","A2","dieren","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"akeḏ / ak","met (samen)","with (together)","B1","znw_m_ev","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::gram"
"akwaḏrun","de deurpost","the door post","C1","znw_m_ev","B2","huis & huishouden","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"Aliman","Duitsland, Duitser","Germany, German","B2","znw_m_ev","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"am","zoals","like, as","B2","ww","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::gram"
"amaa","bevelen","command","B1","ww","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::ww tarifit::thema::sam"
"amaazag","bitter","bitter","B2","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aman","Water","Water","A1","znw_m_ev","A1","eten & drinken","check","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aman iḇaawen","brak","broke","C2","znw_m_ev","B2","natuur & weer","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"Amastan/abugadu","Advocaat","Lawyer","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"amcan","plaats, plek","place, place","B2","znw_m_ev","A1","plaats & richting & geografie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"amcum","stout persoon","naughty person","B2","znw_m_ev","B2","samenleving & volken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"amecři","de lunch","the lunch","B2","znw_m_ev","A1","eten & drinken","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"ameddukeř","vriend","friend","C1","znw_m_ev","A1","familie & mensen","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::fam"
"amen","geloven","to believe","B1","ww","A2","gevoel & denken","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::gev"
"amenni","zo, op die manier","so, in that way","B2","znw_m_ev","A1","functiewoorden","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::gram"
"amensi","avondmaal, Avondeten","supper, Dinner","B2","znw_m_ev","B1","eten & drinken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"amenɣi","Ruzie","Row","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"ameqqṛan","Groot","Big","C1","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"amesmia","de spijker","the nail","B2","znw_m_ev","A2","gereedschap & materiaal","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::ger"
"amesřem","moslim","Muslim","B2","znw_m_ev","A2","religie & leven-dood","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"amesɛi","Bedelaar","Beggar","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"amesṯen","Bescherming","Protection","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"ametta","traan","tear","B2","znw_m_ev","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"amettin","dode persoon, lijk","dead person, corpse","B2","znw_m_ev","B1","religie & leven-dood","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"amezwaru","eerste","first","C1","znw_m_ev","A1","getallen & hoeveelheid","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::get"
"amezzuɣ","oor","ear","B2","znw_m_ev","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"amezḏag","schoon","beautiful","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"ameřɣiɣ","de hersenen","the brain","B2","znw_m_ev","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"Amešmaš","Abrikoos","Apricot","B2","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"ameɛnan / amezyan","klein","small","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"ameḏǧaz","de dichter, traditionele zanger","the poet, traditional singer","B2","znw_m_ev","B1","taal & school & communicatie","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::taal"
"ameḥḏaa","leerling, student","pupil, student","B2","znw_m_ev","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::taal"
"amin","Amen","Amen","B1","ww","A2","religie & leven-dood","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::rel"
"amjaa","de sikkel of zeis","the sickle or scythe","B2","znw_m_ev","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"amnus","bezorgdheid","concern","B2","znw_m_ev","B1","gevoel & denken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::gev"
"amuaḏus","het karkas","the carcass","B2","znw_m_ev","B2","dieren","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"amyan","bok (dier)","goat (animal)","B1","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"amziř","de smid","the blacksmith","B2","znw_m_ev","B1","werk & beroep & ambacht","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"amẓiw","monster, boze geest","monster, evil spirit","B2","znw_m_ev","A2","religie & leven-dood","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"Anawar","Activiteit","Activity","B2","znw_m_ev","A2","overig","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::ov"
"anday","de hinderlaag","the ambush","B2","znw_m_ev","B2","samenleving & volken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"andeř","graf","grave","B2","znw_m_ev","A2","religie & leven-dood","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::rel"
"andraa","de dorsvloer","the threshing floor","B2","znw_m_ev","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"aneggaru","het einde, laatste","the end, last","C1","znw_m_ev","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"anejjaa","de timmerman","the carpenter","B2","znw_m_ev","A2","werk & beroep & ambacht","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"anewji","bezoeker, gast","visitor, guest","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"anewyew","Bezoek","Visit","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"aneɣ","het tandvlees","the gums","B1","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aneɣ","verhemelte","palate","B1","znw_m_ev","B2","lichaam","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aneḇḏu / řexrif / rmiṣta","Zomer","Summer","B2","znw_m_ev","A1","tijd","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::tijd"
"aneḏḏah","Bestuurder","Director","B2","znw_m_ev","A2","vervoer & reizen","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::verv"
"aneḥḇus","de gevangene","the prisoner","B2","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"anhezzi n ṯmurṯ/zzinzal","Aardbeving","Earthquake","B2","znw_m_ev","B1","natuur & weer","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::nat"
"aniyna","Bel","Call","B2","znw_m_ev","A2","huis & huishouden","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"aniči, ařinti","de herder","the shepherd","C2","znw_m_ev","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"anu","waterput","water well","B1","znw_m_ev","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"anwař","de stal","the stable","B2","znw_m_ev","B1","landbouw & veeteelt & visserij","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"anzaa","regen","rain","B2","ww","A1","natuur & weer","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::nat"
"anḏu","vlechtwerk om te wannen","wickerwork for winnowing","B1","znw_m_ev","B2","landbouw & veeteelt & visserij","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::land"
"apatci","Apache helikopter","Apache helicopter","B2","znw_m_ev","B2","samenleving & volken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"apilaa","de paal","the pole","B2","znw_m_ev","B1","gereedschap & materiaal","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::ger"
"aqbuc","kruik voor water","jug for water","B1","znw_m_ev","B2","huis & huishouden","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"aqeccaa","kaal","bald","B2","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aqeddaa","de pottenbakker","the potter","B2","znw_m_ev","B2","werk & beroep & ambacht","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"aqedduḥ","het blik","the can","B2","znw_m_ev","A2","huis & huishouden","check","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::huis"
"aqeffuḥ","dom","stupid","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aqehwi","Bruin","Brown","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aqellaw","de penis","the penis","B2","znw_m_ev","B1","lichaam","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aqemmum","mond","mouth","A1","znw_m_ev","A1","lichaam","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::lich"
"aqezzaz / joɛ","gierig","stingy","B1","znw_m_ev","B1","eigenschappen & kleuren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aqeṛɛi","lid van Iqeṛɛiyen-stam","member of Iqeṛɛiyen tribe","C1","znw_m_ev","B2","samenleving & volken","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"aqninni","Konijn","Rabbit","B2","znw_m_ev","A1","dieren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"aquḏḏaḏ","kort","short","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aqzin","hond","dog","B2","znw_m_ev","A1","dieren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"aqḇuc","Kom","Come","B2","znw_m_ev","A2","eten & drinken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::eten"
"aqḏim","Oud (voor dingen en leeftijd)","Old (for things and age)","B2","znw_m_ev","A1","eigenschappen & kleuren","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::eig"
"aqṛab","Rugtas","Backpack","B2","znw_m_ev","A2","kleding & sieraad","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::kled"
"Aremmas","Aannemer","Contractor","B2","znw_m_ev","B2","werk & beroep & ambacht","auto","tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev tarifit::thema::werk"
"ari","schrijven","to write","A2","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"Arif","het Rif (gebied)","the Rif (area)","B1","znw_m_ev","A2","plaats & richting & geografie","check","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::pl"
"arifi","Riffijn","Riffin","C1","znw_m_ev","B1","samenleving & volken","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"arr","antwoorden","answers","B1","ww","A1","taal & school & communicatie","auto","tarifit::cefr::A1 tarifit::woordsoort::ww tarifit::thema::taal"
"arr nnefs","ademen","to breathe","C1","ww","A2","lichaam","auto","tarifit::cefr::A2 tarifit::woordsoort::ww tarifit::thema::lich"
"arrayes","de president","the president","B2","znw_m_ev","A2","samenleving & volken","auto","tarifit::cefr::A2 tarifit::woordsoort::znw_m_ev tarifit::thema::sam"
"arriš","veren, pluimage","feathers, plume","B2","znw_m_ev","B1","dieren","auto","tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev tarifit::thema::dier"
"arraḏyu","Radio","Radio","B2","znw_m_ev","A1","overig","auto","tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev tarifit::thema::ov"
