a / wa / waḏ,This,A1,vnw_aanw,tarifit::cefr::A1 tarifit::woordsoort::vnw_aanw
abeccun,the vagina,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
abettix,Melon,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
abuqaṛ,Bucket,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
abyas / ṯaḥezzant,belt,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aca,to feel,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
acaa,to steal,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
acarriḏ,the line,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aceddi,the knot,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aceffar,Thief,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
acemmus,"bundle, package",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
acemřař,white,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
acenquḇ,the beak,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
acessas n lḥebs,Prison guard,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
acewwaf,her,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aceḥřuf,the firewood,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
acmaz,the itch,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
acniw,the twins,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
acrag,tanning,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
acuﬀuṛ,Driver,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ad,"shall, will",B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
adjey,deep,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
adu,under,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
af,to find,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
afaattu,the butterfly,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
afarran,"baker, oven",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
afriw,wing,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
afunas,bull,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
afusi,right,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
afḏis,the hammer,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
afṛaḏ,Waste,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
agemmiz,cheek,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
agezzaa,butcher,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
agi,to refuse,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ahimuř,the crowd,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajaaṭiř,the mat,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajdiḏ,bird,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajemmad-in,Other side,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
ajenna,"sky, air",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajjaj,Storm,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajjař,the widower,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajjaṛ,Neighbour,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajris,the ice,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajɛuḏ,the foal,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ajɣuř,the shell,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
akebbuḏ / palto,Jacket,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
akeccuḏ,stick,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
akennas,tail,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
akeḏ / ak,with (together),B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
akwaḏrun,the door post,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
Aliman,"Germany, German",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
am,"like, as",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
amaa,command,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
amaazag,bitter,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aman,Water,A1,znw_m_ev,tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev
aman iḇaawen,broke,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
Amastan/abugadu,Lawyer,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amcan,"place, place",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amcum,naughty person,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amecři,the lunch,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ameddukeř,friend,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
amen,to believe,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
amenni,"so, in that way",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amensi,"supper, Dinner",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amenɣi,Row,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ameqqṛan,Big,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
amesmia,the nail,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amesřem,Muslim,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amesɛi,Beggar,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amesṯen,Protection,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ametta,tear,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amettin,"dead person, corpse",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amezwaru,first,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
amezzuɣ,ear,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amezḏag,beautiful,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ameřɣiɣ,the brain,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
Amešmaš,Apricot,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ameɛnan / amezyan,small,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ameḏǧaz,"the poet, traditional singer",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ameḥḏaa,"pupil, student",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amin,Amen,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
amjaa,the sickle or scythe,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amnus,concern,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amuaḏus,the carcass,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amyan,goat (animal),B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
amziř,the blacksmith,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
amẓiw,"monster, evil spirit",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
Anawar,Activity,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
anday,the ambush,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
andeř,grave,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
andraa,the threshing floor,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aneggaru,"the end, last",C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
anejjaa,the carpenter,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
anewji,"visitor, guest",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
anewyew,Visit,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aneɣ,the gums,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aneɣ,palate,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aneḇḏu / řexrif / rmiṣta,Summer,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aneḏḏah,Director,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aneḥḇus,the prisoner,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
anhezzi n ṯmurṯ/zzinzal,Earthquake,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aniyna,Call,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
"aniči, ařinti",the shepherd,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
anu,water well,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
anwař,the stable,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
anzaa,rain,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
anḏu,wickerwork for winnowing,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
apatci,Apache helicopter,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
apilaa,the pole,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqbuc,jug for water,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aqeccaa,bald,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqeddaa,the potter,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqedduḥ,the can,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqeffuḥ,stupid,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqehwi,Brown,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqellaw,the penis,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqemmum,mouth,A1,znw_m_ev,tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev
aqezzaz / joɛ,stingy,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aqeṛɛi,member of Iqeṛɛiyen tribe,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aqninni,Rabbit,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aquḏḏaḏ,short,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqzin,dog,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqḇuc,Come,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqḏim,Old (for things and age),B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aqṛab,Backpack,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
Aremmas,Contractor,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ari,to write,A2,ww,tarifit::cefr::A2 tarifit::woordsoort::ww
Arif,the Rif (area),B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
arifi,Riffin,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
arr,answers,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
arr nnefs,to breathe,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
arrayes,the president,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
arraḏyu,Radio,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
arrez,broken,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
arric,the feather,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
Arrima,Mooring,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
arristuran,restaurant,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
arruz,Rice,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
arruḏ,"clothes, garments",B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
arruḥ,the soul or spirit,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
arrḇeḥ,the victory,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
arrḇiɛ,Grass,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aru,beget,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aryiyi,Shivering,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
as,come,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
asaaḏun,mule,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
Asegbar,Actor,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aseggwas / ɛam,Year,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
asekcuṭ,upper part of couscous pan,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asemmam,sour,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
asemmaḏ,cold,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asemmiḏ,the cold,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asemmiḏ / rɛawin,Wind,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asennan,thorn,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aseymi,baby,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aseřɣaɣ / lɛaṣir,juice,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aseḏḥi / ḥecma,Shame,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aseḥḥaa,the wizard or witch,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asfeḏ,the lamp or torch,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asiwan,the hawk,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asiynu,the cloud,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aspanyu,Spaniard,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
aspiraṯor,to vacuum,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
assam,the lightning bolt,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asřem,fish,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asřif,the brother-in-law or sister-in-law,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
asřix,the fur,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
atay,tea,A1,znw_m_ev,tarifit::cefr::A1 tarifit::woordsoort::znw_m_ev
atijari,the merchant,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
attas,"often, for a long time, a lot",C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
attaw,big eye,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
awař,"word, conversation",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
awaṛ,Appointment,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
awessaa,old man,C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
awezwiz,the piece,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aweḏ,arrive,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
awi,to take,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
awi-ḏ,To fetch,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
awiḏ kicc,Take away,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
awmaṯen,the brother or sister,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
awraɣ,yellow,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
awrud,"over here, over here",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
awṯem,male,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axeddam,"Worker, employee",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axeddam,employee,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axenza,the boil,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axeyyaḏ,the tailor,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axmaa,the spider web,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axwwan,Burglar,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axřuř,the snot,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
axḇuc,"the ditch, the hole",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aɣ,presentational particle ('here!'),C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
ayaaziz,the hare,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayawya,each other,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayaṛṛaf,water jug,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayem,to fetch water,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
ayemmaḏ,opposite side,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayencic,Lip,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayenduz,the ox,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayezzim,the wound,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayeř (1),to hang,C1,ww,tarifit::cefr::C1 tarifit::woordsoort::ww
Ayidar/faču,Eagle,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
ayirin,over there,B2,ww,tarifit::cefr::B2 tarifit::woordsoort::ww
ayraḏ,lion,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aysum,meat,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
ayujiř,orphan,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ayyaw,grandchild,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
ayyaw / yeǧis n ɛzizi,nephew (paternal side),B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
ayṯ,that of (tribal affiliation),B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
azeřmaḏ,left,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azeǧif,head,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azeɛɛam,brave,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azeɣ,dry,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aziyza,blue,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aziyza,raw,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aziza,"green, blue",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azizun,stupid,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aziḏan / rqabus,the gun,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azu,to skin,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
azul,Hi,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
azwaa,"the vein, artery, the tendon",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azyen,half,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azyen n nnhaa,the noon,C2,znw_m_ev,tarifit::cefr::C2 tarifit::woordsoort::znw_m_ev
azzeř,"to run, to flow",C2,ww,tarifit::cefr::C2 tarifit::woordsoort::ww
Azɣenɣan,Zeghanghane (village near Nador),C1,znw_m_ev,tarifit::cefr::C1 tarifit::woordsoort::znw_m_ev
azḏaḏ,thin,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azḏuz,the pestle,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
azṛu,stone,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
ařef,thousand,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ařeqqaɣ,smooth,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aři,to climb,B1,ww,tarifit::cefr::B1 tarifit::woordsoort::ww
aři / geɛɛeḏ,"to go up, to climb",B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
ařiyzim,"the hoe, the anchor",B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
ařmi,to (conjunction),B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
ařɣem,camel,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aǧenna,the air,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
aǧun,large tambourine,B1,znw_m_ev,tarifit::cefr::B1 tarifit::woordsoort::znw_m_ev
aɛaayan,naked,B2,znw_m_ev,tarifit::cefr::B2 tarifit::woordsoort::znw_m_ev
