tarifit,nl,en,gloss,hoofdstuk,les,bron,tags
azzeř,rennen,to run,,4.2,32,boek p. 52,id:p52-08;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
ssizzeř,laten rennen,to make run,,4.2,32,boek p. 52,id:p52-09;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
cc,eten,to eat,,4.2,32,boek p. 52,id:p52-10;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
ssecc,voeden,to feed,,4.2,32,boek p. 52,id:p52-11;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
iaḏ,dragen,to wear,,4.2,32,boek p. 52,id:p52-12;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
ssiaḏ,aankleden (iemand),to dress (somebody),,4.2,32,boek p. 52,id:p52-13;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
ffey,naar buiten gaan,to go out,,4.2,32,boek p. 53,id:p53-01;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
ssufey,naar buiten laten gaan,to let out,,4.2,32,boek p. 53,id:p53-02;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
kkaa,opstaan,to rise,,4.2,32,boek p. 53,id:p53-03;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
sekkaa,laten opstaan,to make rise,,4.2,32,boek p. 53,id:p53-04;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
aḏef,naar binnen gaan,to go in,,4.2,32,boek p. 53,id:p53-05;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
ssidef,naar binnen laten gaan,to let in,,4.2,32,boek p. 53,id:p53-06;context:the-causative-prefix-ss-;hoofdstuk:auto;les:auto
řaɣa,roepen,to call,,4.2,33,boek p. 53,id:p53-07;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
mřaɣa,elkaar roepen,to call each other,,4.2,33,boek p. 53,id:p53-08;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nɣ,doden,to kill,,4.2,33,boek p. 53,id:p53-09;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
mneɣ,vechten (lett. elkaar doden),to fight (lit. to kill each other),,4.2,33,boek p. 53,id:p53-10;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
ndaa,gooien,to throw,,4.2,33,boek p. 53,id:p53-11;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
mmenḍaa,gegooid worden,to be thrown,,4.2,33,boek p. 53,id:p53-12;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
aani,toevoegen,to add,,4.2,33,boek p. 53,id:p53-13;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
mmaani,toegevoegd worden,to be added,,4.2,33,boek p. 53,id:p53-14;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
temmenz ttumuhin-nni,de auto is verkocht,the car has been sold,,4.2,33,boek p. 53,id:p53-15;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
tetmenza ttumubin-nni,de auto is verkoopbaar,the car is sellable,,4.2,33,boek p. 53,id:p53-16;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
yewta ixef nnes,hij sloeg zichzelf,he hit himself,,4.2,33,boek p. 53,id:p53-17;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nraja ayawya,wij wachtten op elkaar,we waited for each other,,4.2,33,boek p. 53,id:p53-18;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nraja ijjen d wenneyni,wij wachtten op elkaar,we waited for each other,,4.2,33,boek p. 53,id:p53-19;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
aḏes,dichtbij zijn,to be near,,4.2,33,boek p. 54,id:p54-01;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
mřaḏas,dicht bij elkaar zijn,to be near to each other,,4.2,33,boek p. 54,id:p54-02;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
wweṯ,slaan,to hit,,4.2,33,boek p. 54,id:p54-03;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
mřewṯa,elkaar slaan,to hit each other,,4.2,33,boek p. 54,id:p54-04;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
ḏfes,vouwen,to fold,,4.2,33,boek p. 54,id:p54-05;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nneḍfes,gevouwen worden,to be fold,,4.2,33,boek p. 54,id:p54-06;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
aazem,"openen, open zijn","to open, to be open",,4.2,33,boek p. 54,id:p54-07;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nnuaẓem,geopend worden,to be opened,,4.2,33,boek p. 54,id:p54-08;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
ffaa,verstoppen (iets/zichzelf),to hide (something/oneself),,4.2,33,boek p. 54,id:p54-09;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nnujfaa,verstopt worden,to be hid,,4.2,33,boek p. 54,id:p54-10;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
qṛeb,(iets) omdraaien,to turn (sth.) around,,4.2,33,boek p. 54,id:p54-11;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
nneqreb,zichzelf omdraaien,to turn (oneself) around,,4.2,33,boek p. 54,id:p54-12;context:the-middle-prefix-mm-;hoofdstuk:auto;les:auto
ẓẓu,planten,to plant,,4.2,33,boek p. 54,id:p54-13;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
ṯwazzu,geplant worden,to be planted,,4.2,33,boek p. 54,id:p54-14;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
cc,eten,to eat,,4.2,33,boek p. 54,id:p54-15;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
ṯwacc,gegeten worden,to be eaten,,4.2,33,boek p. 54,id:p54-16;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
icaaz ufeǧah iyyaa,de boer ploegde het veld,the farmer ploughed the field,,4.2,33,boek p. 54,id:p54-17;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
icaaz yiyyaa,het veld is geploegd,the field is ploughed,,4.2,33,boek p. 54,id:p54-18;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
yetwacaaz yiyyaa,het veld is geploegd,the field has been ploughed,,4.2,33,boek p. 54,id:p54-19;context:the-passive-prefix-twa-;hoofdstuk:auto;les:auto
neɣ,doden,to kill,,4.2,33,boek p. 55,id:p55-01;context:combined-derivations;hoofdstuk:auto;les:auto
mneɣ,vechten,to fight,,4.2,33,boek p. 55,id:p55-02;context:combined-derivations;hoofdstuk:auto;les:auto
ssemney,laten vechten,to make fight,,4.2,33,boek p. 55,id:p55-03;context:combined-derivations;hoofdstuk:auto;les:auto
ṛqa,ontmoeten,to meet,,4.2,33,boek p. 55,id:p55-04;context:combined-derivations;hoofdstuk:auto;les:auto
mseřqa,elkaar ontmoeten,to meet e.o.,,4.2,33,boek p. 55,id:p55-05;context:combined-derivations;hoofdstuk:auto;les:auto
semserqa,elkaar laten ontmoeten,to make meet e.o.,,4.2,33,boek p. 55,id:p55-06;context:combined-derivations;hoofdstuk:auto;les:auto
azzeř,rennen,to run,,4.2,33,boek p. 55,id:p55-07;context:combined-derivations;hoofdstuk:auto;les:auto
ssizzeř,laten rennen,to make run,,4.2,33,boek p. 55,id:p55-08;context:combined-derivations;hoofdstuk:auto;les:auto
ṯwasizzeř,gemaakt worden om te rennen,to be made/let run,,4.2,33,boek p. 55,id:p55-09;context:combined-derivations;hoofdstuk:auto;les:auto
necc d Mimun,ik ben Mimoun,I am Mimoun,,5.1,03,boek p. 62,id:p62-01;context:free-pronouns;hoofdstuk:auto;les:auto
d necc,ik ben het,it’s me,,5.1,03,boek p. 62,id:p62-02;context:free-pronouns;hoofdstuk:auto;les:auto
"necc, yesseqsa-ayi Minmn","wat mij betreft, Mimoun heeft mij gevraagd","as for me, Mimoun has asked me",,5.1,03,boek p. 63,id:p63-01;context:free-pronouns;hoofdstuk:auto;les:auto
"tezr-it, netta","zij heeft hem gezien, hem","she has seen him, him",,5.1,03,boek p. 63,id:p63-02;context:free-pronouns;hoofdstuk:auto;les:auto
udaabbi wanita d arifi am cekk,deze is waarschijnlijk een Rifijn zoals jij,this one is probably a Riffian like you,,5.1,03,boek p. 63,id:p63-03;context:free-pronouns;hoofdstuk:auto;les:auto
qa-ten diha = qa-yen diha,zij zijn daarginds,they are over there,,5.2,05,boek p. 64,id:p64-01;context:bound-pronouns;hoofdstuk:auto;les:auto
yessufɣ-it,hij heeft hem naar buiten laten gaan,he has let him out,,5.2,05,boek p. 64,id:p64-02;context:bound-pronouns;hoofdstuk:auto;les:auto
yemjaa,hij heeft geoogst,he has harvested,,5.2,05,boek p. 64,id:p64-03;context:bound-pronouns;hoofdstuk:auto;les:auto
yemjar-it,hij heeft het geoogst,he has harvested it,,5.2,05,boek p. 64,id:p64-04;context:bound-pronouns;hoofdstuk:auto;les:auto
yecc-it,hij heeft het gegeten,he has eaten it,,5.2,05,boek p. 64,id:p64-05;context:bound-pronouns;hoofdstuk:auto;les:auto
yessru-ten,hij deed hen huilen,he made them cry,,5.2,05,boek p. 64,id:p64-06;context:bound-pronouns;hoofdstuk:auto;les:auto
ssufɣex-t,ik heb hem naar buiten laten gaan,I have let him out,,5.2,05,boek p. 64,id:p64-07;context:bound-pronouns;hoofdstuk:auto;les:auto
wi dayi-yessufɣen?,wie heeft mij naar buiten laten gaan?,who has made me go out?,,5.2,05,boek p. 64,id:p64-08;context:bound-pronouns;hoofdstuk:auto;les:auto
wsiɣ-as pabu,ik gaf hem een kalkoen,I gave him a turkey,,5.2,25,boek p. 65,id:p65-01;context:indirect-object-pronouns;hoofdstuk:auto;les:auto
wi das-yewsin pabu,wie gaf hem een kalkoen?,who gave him a turkey?,,5.2,25,boek p. 65,id:p65-02;context:indirect-object-pronouns;hoofdstuk:auto;les:auto
wsiɣ pabu i Mimun,ik heb een kalkoen aan Mimoun gegeven,I has given a turkey to Mimoun,,5.2,25,boek p. 65,id:p65-03;context:indirect-object-pronouns;hoofdstuk:auto;les:auto
wsiɣ-as pabu i Mimun,ik heb (aan hem) de kalkoen aan Mimoun gegeven,I have given (to him) the turkey to Mimoun,,5.2,25,boek p. 65,id:p65-04;context:indirect-object-pronouns;hoofdstuk:auto;les:auto
yedwer-d ɣaa Nnadua,hij is teruggekomen naar Nador,he has come back to Nador,,7.1,25,boek p. 65,id:p65-05;context:the-deictic-clitic-d-'hither';hoofdstuk:auto;les:auto
